CONTRATO|TIPO|IDENTIFICADOR|FECHA|
A0100000000006Q|PR |000008074647116|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647116        ContratoPR          18503758_807464711602_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503758_807464711602_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647074|30/07/2002|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-03-PRPE-08_O_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-03-PRPE-08_O_0_20170517.PDF
A0100000000006Q|PR |000008074647074|29/08/2002|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-05-CERA-14_C_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-05-CERA-14_C_0_20170517.PDF
A0100000000006Q|PR |000008074647074|29/08/2002|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-05-CERA-14_O_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-05-CERA-14_O_0_20170517.PDF
A0100000000006Q|PR |000008074647074|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647075|16/12/2005|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647075        ContratoPR          18503722_807464707501_AF-05-CERA-14_C_0_20170518.PDF                                             MASIVO      S8503722_807464707501_AF-05-CERA-14_C_0_20170518.PDF
A0100000000006Q|PR |000008074647075|23/12/2005|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647075        ContratoPR          18503722_807464707501_AF-03-CORR-02_C_0_20170518.PDF                                             MASIVO      S8503722_807464707501_AF-03-CORR-02_C_0_20170518.PDF
A0100000000006Q|PR |000008074647075|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647075        ContratoPR          18503722_807464707501_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503722_807464707501_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647074|17/06/2005|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-03-PRPE-08_C_0_20170518.PDF                                             MASIVO      S8503721_807464707402_AF-03-PRPE-08_C_0_20170518.PDF
A0100000000006Q|PR |000008074647074|01/01/1901|000000                                                                                                                                                                AF-08-CUAD-02       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-08-CUAD-02_C_0_20170518.PDF                                             MASIVO      S8503721_807464707402_AF-08-CUAD-02_C_0_20170518.PDF
A0100000000006Q|PR |000008074647075|29/10/2013|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647075        ContratoPR          18503722_807464707501_AF-03-CORR-01_O_0_20170518.PDF                                             MASIVO      S8503722_807464707501_AF-03-CORR-01_O_0_20170518.PDF
A0100000000006Q|PR |000008074647075|01/02/2006|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647075        ContratoPR          18503722_807464707501_AF-03-PRPE-08_O_0_20170518.PDF                                             MASIVO      S8503722_807464707501_AF-03-PRPE-08_O_0_20170518.PDF
A0100000000006Q|PR |000008074647075|13/01/2006|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647075        ContratoPR          18503722_807464707501_AF-03-PRPE-08_C_0_20170518.PDF                                             MASIVO      S8503722_807464707501_AF-03-PRPE-08_C_0_20170518.PDF
A0100000000006Q|PR |000008074647079|08/10/2008|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647079        ContratoPR          18503726_807464707908_AF-05-CERA-14_C_0_20170517.PDF                                             MASIVO      S8503726_807464707908_AF-05-CERA-14_C_0_20170517.PDF
A0100000000006Q|PR |000008074647079|27/12/2012|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647079        ContratoPR          18503726_807464707908_AF-03-CORR-01_O_0_20170517.PDF                                             MASIVO      S8503726_807464707908_AF-03-CORR-01_O_0_20170517.PDF
A0100000000006Q|PR |000008074647079|07/01/2009|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647079        ContratoPR          18503726_807464707908_AF-03-CORR-01_C_0_20170517.PDF                                             MASIVO      S8503726_807464707908_AF-03-CORR-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647079|28/10/2008|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647079        ContratoPR          18503726_807464707908_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503726_807464707908_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647078|31/12/2012|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647078        ContratoPR          18503725_807464707897_EN-01-FICH-19_C_0_20170517.PDF                                             MASIVO      S8503725_807464707897_EN-01-FICH-19_C_0_20170517.PDF
A0100000000006Q|PR |000008074647076|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647076|22/10/2009|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-05-CERA-14_O_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-05-CERA-14_O_0_20170517.PDF
A0100000000006Q|PR |000008074647076|01/01/1901|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-05-CERA-14_C_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-05-CERA-14_C_0_20170517.PDF
A0100000000006Q|PR |000008074647076|04/12/2007|000000                                                                                                                                                                AF-08-CUAD-02       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-08-CUAD-02_C_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-08-CUAD-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647076|14/10/2009|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647076|19/02/2007|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-03-CORR-01_O_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-03-CORR-01_O_0_20170517.PDF
A0100000000006Q|PR |000008074647079|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647079        ContratoPR          18503726_807464707908_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503726_807464707908_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647076|13/06/2008|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647076        ContratoPR          18503723_807464707699_AF-03-CORR-01_C_0_20170517.PDF                                             MASIVO      S8503723_807464707699_AF-03-CORR-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647080|29/06/2010|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647080        ContratoPR          18503727_807464708004_AF-03-PRPE-08_C_20170518.PDF                                               MASIVO      S8503727_807464708004_AF-03-PRPE-08_C_20170518.PDF
A0100000000006Q|PR |000008074647080|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647080        ContratoPR          18503727_807464708004_AF-08-INLI-01_C_20170518.PDF                                               MASIVO      S8503727_807464708004_AF-08-INLI-01_C_20170518.PDF
A0100000000006Q|PR |000008074647081|01/01/1901|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647081        ContratoPR          18503728_807464708103_AF-03-CORR-01_O_20170518.PDF                                               MASIVO      S8503728_807464708103_AF-03-CORR-01_O_20170518.PDF
A0100000000006Q|PR |000008074647081|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647081        ContratoPR          18503728_807464708103_AF-08-INLI-01_C_20170518.PDF                                               MASIVO      S8503728_807464708103_AF-08-INLI-01_C_20170518.PDF
A0100000000006Q|PR |000008074647095|19/06/2009|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647095        ContratoPR          18503739_807464709508_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503739_807464709508_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647095|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647095        ContratoPR          18503739_807464709508_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503739_807464709508_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647094|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647094        ContratoPR          18503738_807464709497_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503738_807464709497_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647094|03/11/2006|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647094        ContratoPR          18503738_807464709497_AF-05-CERA-14_C_0_20170517.PDF                                             MASIVO      S8503738_807464709497_AF-05-CERA-14_C_0_20170517.PDF
A0100000000006Q|PR |000008074647094|02/11/2006|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647094        ContratoPR          18503738_807464709497_AF-03-CORR-01_C_0_20170517.PDF                                             MASIVO      S8503738_807464709497_AF-03-CORR-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647094|06/06/2006|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647094        ContratoPR          18503738_807464709497_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503738_807464709497_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647094|05/08/2013|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647094        ContratoPR          18503738_807464709497_AF-03-CORR-01_O_0_20170517.PDF                                             MASIVO      S8503738_807464709497_AF-03-CORR-01_O_0_20170517.PDF
A0100000000006Q|PR |000008074647092|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647092        ContratoPR          18503736_807464709299_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503736_807464709299_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647091|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647091        ContratoPR          18503735_807464709101_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503735_807464709101_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647093|26/10/1994|000000                                                                                                                                                                AF-01-ESIN-26       00000000006Q|PR |000008074647093        ContratoPR          18503737_807464709398_AF-01-ESIN-26_C_0_20170517.PDF                                             MASIVO      S8503737_807464709398_AF-01-ESIN-26_C_0_20170517.PDF
A0100000000006Q|PR |000008074647093|21/10/2002|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647093        ContratoPR          18503737_807464709398_AF-05-CERA-14_C_0_20170517.PDF                                             MASIVO      S8503737_807464709398_AF-05-CERA-14_C_0_20170517.PDF
A0100000000006Q|PR |000008074647093|01/01/1901|000000                                                                                                                                                                AF-01-CUAD-02       00000000006Q|PR |000008074647093        ContratoPR          18503737_807464709398_AF-01-CUAD-02_C_0_20170517.PDF                                             MASIVO      S8503737_807464709398_AF-01-CUAD-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647093|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647093        ContratoPR          18503737_807464709398_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503737_807464709398_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647093|28/01/2008|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647093        ContratoPR          18503737_807464709398_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503737_807464709398_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647101|17/10/2006|000000                                                                                                                                                                AF-03-ESIN-16       00000000006Q|PR |000008074647101        ContratoPR          18503745_807464710109_AF-03-ESIN-16_C_0_20170517.PDF                                             MASIVO      S8503745_807464710109_AF-03-ESIN-16_C_0_20170517.PDF
A0100000000006Q|PR |000008074647101|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647101        ContratoPR          18503745_807464710109_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503745_807464710109_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647102|17/08/2006|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647102        ContratoPR          18503746_807464710208_AF-03-CORR-02_C_0_20170516.PDF                                             MASIVO      S8503746_807464710208_AF-03-CORR-02_C_0_20170516.PDF
A0100000000006Q|PR |000008074647101|28/12/2006|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647101        ContratoPR          18503745_807464710109_AF-03-PRPE-08_O_0_20170515.PDF                                             MASIVO      S8503745_807464710109_AF-03-PRPE-08_O_0_20170515.PDF
A0100000000006Q|PR |000008074647101|01/01/1901|000000                                                                                                                                                                AF-02-NOVA-04       00000000006Q|PR |000008074647101        ContratoPR          18503745_807464710109_AF-02-NOVA-04_C_0_20170515.PDF                                             MASIVO      S8503745_807464710109_AF-02-NOVA-04_C_0_20170515.PDF
A0100000000006Q|PR |000008074647101|25/10/2006|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647101        ContratoPR          18503745_807464710109_AF-03-CORR-01_C_0_20170515.PDF                                             MASIVO      S8503745_807464710109_AF-03-CORR-01_C_0_20170515.PDF
A0100000000006Q|PR |000008074647101|18/01/2007|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647101        ContratoPR          18503745_807464710109_AF-03-CORR-01_O_0_20175216.PDF                                             MASIVO      S8503745_807464710109_AF-03-CORR-01_O_0_20175216.PDF
A0100000000006Q|PR |000008074547101|29/12/2006|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074547101        ContratoPR          18503745_807454710109_AF-03-CORR-02_C_0_20170515.PDF                                             MASIVO      S8503745_807454710109_AF-03-CORR-02_C_0_20170515.PDF
A0100000000006Q|PR |000008074647097|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647097        ContratoPR          18503741_807464709706_AF-08-INLI-01_C_0_20170512.PDF                                             MASIVO      S8503741_807464709706_AF-08-INLI-01_C_0_20170512.PDF
A0100000000006Q|PR |000008074647102|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647102        ContratoPR          18503746_807464710208_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503746_807464710208_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647099|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647099        ContratoPR          18503743_807464709904_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503743_807464709904_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647099|12/06/2008|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647099        ContratoPR          18503743_807464709904_AF-03-PRPE-08_C_0_20170517.PDF                                             MASIVO      S8503743_807464709904_AF-03-PRPE-08_C_0_20170517.PDF
A0100000000006Q|PR |000008074647100|06/06/2005|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647100        ContratoPR          18503744_807464710098_AF-03-CORR-01_C_0_20170512.PDF                                             MASIVO      S8503744_807464710098_AF-03-CORR-01_C_0_20170512.PDF
A0100000000006Q|PR |000008074647100|23/05/2005|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647100        ContratoPR          18503744_807464710098_AF-03-CORR-02_C_0_20170512.PDF                                             MASIVO      S8503744_807464710098_AF-03-CORR-02_C_0_20170512.PDF
A0100000000006Q|PR |000008074647100|26/06/2005|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647100        ContratoPR          18503744_807464710098_AF-05-CERA-14_C_0_20170512.PDF                                             MASIVO      S8503744_807464710098_AF-05-CERA-14_C_0_20170512.PDF
A0100000000006Q|PR |000008074647100|01/01/1901|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647100        ContratoPR          18503744_807464710098_AF-05-CERA-14_O_0_20170512.PDF                                             MASIVO      S8503744_807464710098_AF-05-CERA-14_O_0_20170512.PDF
A0100000000006Q|PR |000008074647100|24/06/2005|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647100        ContratoPR          18503744_807464710098_AF-03-CORR-01_O_0_20170512.PDF                                             MASIVO      S8503744_807464710098_AF-03-CORR-01_O_0_20170512.PDF
A0100000000006Q|PR |000008074647099|29/12/2009|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647099        ContratoPR          18503743_807464709904_AF-05-CERA-14_C_0_20170512.PDF                                             MASIVO      S8503743_807464709904_AF-05-CERA-14_C_0_20170512.PDF
A0100000000006Q|PR |000008074647114|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647114        ContratoPR          18503756_807464711404_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503756_807464711404_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647111|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647111        ContratoPR          18503755_807464711107_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503755_807464711107_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647109|07/01/2010|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647109        ContratoPR          18503753_807464710901_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503753_807464710901_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647109|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647109        ContratoPR          18503753_807464710901_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503753_807464710901_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647110|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647110        ContratoPR          18503754_807464711008_AF-08-INLI-01_C_0_20170517.PDF                                             MASIVO      S8503754_807464711008_AF-08-INLI-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647114|01/01/1901|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647114        ContratoPR          18503756_807464711404_EN-03-CNCV-44_C_0_20170517.PDF                                             MASIVO      S8503756_807464711404_EN-03-CNCV-44_C_0_20170517.PDF
A0100000000006Q|PR |000008074647114|05/09/2006|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647114        ContratoPR          18503756_807464711404_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503756_807464711404_AF-03-CORR-02_C_0_20170517.PDF
A0100000000006Q|PR |000008074647117|15/09/2010|000000                                                                                                                                                                AF-03-ESIN-40       00000000006Q|PR |000008074647117        ContratoPR          18503759_807464711701_AF-03-ESIN-40_C_0_20170518.PDF                                             MASIVO      S8503759_807464711701_AF-03-ESIN-40_C_0_20170518.PDF
A0100000000006Q|PR |000008074647117|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647117        ContratoPR          18503759_807464711701_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503759_807464711701_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647117|22/04/2009|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647117        ContratoPR          18503759_807464711701_AF-03-CORR-02_C_0_20170518.PDF                                             MASIVO      S8503759_807464711701_AF-03-CORR-02_C_0_20170518.PDF
A0100000000006Q|PR |000008074647117|01/01/1901|000000                                                                                                                                                                AF-02-NOVA-04       00000000006Q|PR |000008074647117        ContratoPR          18503759_807464711701_AF-02-NOVA-04_C_0_20170518.PDF                                             MASIVO      S8503759_807464711701_AF-02-NOVA-04_C_0_20170518.PDF
A0100000000006Q|PR |000008074647118|18/10/2010|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647118        ContratoPR          18503760_807464711899_AF-03-CORR-02_C_0_20170518.PDF                                             MASIVO      S8503760_807464711899_AF-03-CORR-02_C_0_20170518.PDF
A0100000000006Q|PR |000008074647118|18/01/1989|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647118        ContratoPR          18503760_807464711899_AF-05-CERA-14_C_0_20170518.PDF                                             MASIVO      S8503760_807464711899_AF-05-CERA-14_C_0_20170518.PDF
A0100000000006Q|PR |000008074647118|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647118        ContratoPR          18503760_807464711899_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503760_807464711899_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647119|23/07/2010|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647119        ContratoPR          18503761_807464711998_AF-03-CORR-02_C_0_20170518.PDF                                             MASIVO      S8503761_807464711998_AF-03-CORR-02_C_0_20170518.PDF
A0100000000006Q|PR |000008074647119|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647119        ContratoPR          18503761_807464711998_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503761_807464711998_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647120|01/01/1901|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647120        ContratoPR          18503762_807464712006_AF-05-CERA-14_C_0_20170518.PDF                                             MASIVO      S8503762_807464712006_AF-05-CERA-14_C_0_20170518.PDF
A0100000000006Q|PR |000008074647123|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647123        ContratoPR          18503765_807464712303_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503765_807464712303_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647122|06/04/2005|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647122        ContratoPR          18503764_807464712204_AF-03-PRPE-08_C_0_20170518.PDF                                             MASIVO      S8503764_807464712204_AF-03-PRPE-08_C_0_20170518.PDF
A0100000000006Q|PR |000008074647122|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647122        ContratoPR          18503764_807464712204_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503764_807464712204_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647122|26/05/1998|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647122        ContratoPR          18503764_807464712204_AF-05-CERA-14_C_0_20170518.PDF                                             MASIVO      S8503764_807464712204_AF-05-CERA-14_C_0_20170518.PDF
A0100000000006Q|PR |000008074647122|17/06/2003|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647122        ContratoPR          18503764_807464712204_AF-05-CERA-14_O_0_20170518.PDF                                             MASIVO      S8503764_807464712204_AF-05-CERA-14_O_0_20170518.PDF
